timestamp,open,high,low,close,volume
1640995200000,3676.22,3705.9,3676.22,3691.9,2979.5588
1640996100000,3691.9,3699.84,3685.83,3697.71,1134.7381
1640997000000,3697.71,3718.08,3694.47,3714.52,2480.4213
1640997900000,3714.23,3730.0,3711.42,3723.04,2428.6558
1640998800000,3723.04,3728.0,3714.1,3727.6,2286.9378
1640999700000,3727.61,3748.45,3726.09,3737.77,3031.6975
1641000600000,3737.77,3743.02,3732.47,3733.82,1450.1718
1641001500000,3733.83,3734.22,3722.23,3724.89,2228.9498
1641002400000,3724.88,3730.33,3723.0,3726.49,1170.2247
1641003300000,3726.58,3738.47,3726.54,3729.16,1410.2047
1641004200000,3729.16,3730.16,3722.23,3728.44,801.3881
1641005100000,3728.44,3736.52,3726.46,3728.32,1646.6356
1641006000000,3728.41,3730.1,3721.84,3729.14,1025.9444
1641006900000,3729.14,3737.0,3726.83,3729.0,837.1611
1641007800000,3729.01,3732.46,3726.81,3731.32,724.9357
1641008700000,3731.33,3731.9,3722.83,3723.96,955.1441
1641009600000,3723.96,3728.07,3710.88,3713.05,1436.5012
1641010500000,3713.05,3719.6,3711.99,3716.2,2166.9191
1641011400000,3716.2,3717.94,3708.6,3715.04,1365.0943
1641012300000,3715.05,3722.31,3707.24,3708.21,1148.7674
1641013200000,3708.2,3715.06,3702.84,3715.05,1704.8687
1641014100000,3715.05,3758.0,3711.38,3750.69,4225.0254
1641015000000,3750.68,3765.27,3743.86,3744.44,2412.6401
1641015900000,3744.44,3744.45,3728.6,3735.61,1010.6714
1641016800000,3735.6,3742.67,3728.0,3741.0,1625.3019
1641017700000,3741.0,3741.0,3726.0,3727.65,1049.1158
1641018600000,3727.74,3731.32,3722.33,3723.56,1024.5073
1641019500000,3723.55,3728.34,3708.33,3711.92,1540.0776
1641020400000,3711.93,3713.79,3701.0,3708.42,2038.9012
1641021300000,3708.13,3715.88,3706.23,3707.96,1248.9305
1641022200000,3707.96,3721.78,3704.62,3721.68,1230.9797
1641023100000,3721.69,3724.93,3707.83,3715.31,2022.8385
1641024000000,3715.32,3718.37,3708.6,3717.1,953.2857
1641024900000,3717.1,3725.61,3715.94,3721.47,884.9358
1641025800000,3721.86,3724.17,3715.96,3722.26,989.1985
1641026700000,3722.25,3733.84,3720.24,3721.4,1186.2203
1641027600000,3721.14,3730.0,3716.06,3729.65,1404.2832
1641028500000,3729.65,3729.93,3720.82,3722.51,1246.8987
1641029400000,3722.52,3726.91,3709.38,3713.95,1052.7796
1641030300000,3713.95,3720.15,3710.87,3718.67,811.7021
1641031200000,3718.67,3731.88,3717.97,3719.64,1415.8797
1641032100000,3719.64,3719.9,3688.18,3691.22,3344.1421
1641033000000,3691.22,3699.97,3673.46,3698.61,3851.5917
1641033900000,3698.61,3707.86,3690.3,3691.39,1800.8602
1641034800000,3691.39,3703.39,3691.02,3702.0,1195.6752
1641035700000,3702.0,3712.19,3701.06,3707.32,1141.7103
1641036600000,3707.32,3709.92,3697.12,3706.16,1288.3939
1641037500000,3706.08,3709.0,3692.72,3693.37,1160.4379
1641038400000,3693.38,3708.57,3693.37,3708.13,1495.582
1641039300000,3708.13,3708.87,3698.24,3700.76,1328.7944
1641040200000,3700.75,3715.37,3700.75,3705.67,2104.4554
1641041100000,3705.67,3718.24,3705.66,3716.28,1666.7212
1641042000000,3716.28,3724.93,3710.17,3720.0,2338.8411
1641042900000,3720.0,3721.5,3709.42,3714.34,1341.8025
1641043800000,3714.33,3721.0,3708.15,3719.76,1044.3341
1641044700000,3719.77,3719.77,3706.32,3710.03,990.6195
1641045600000,3710.04,3712.46,3704.78,3706.97,778.0722
1641046500000,3706.97,3713.68,3706.0,3710.15,1853.9333
1641047400000,3710.27,3711.84,3691.88,3701.55,1818.5826
1641048300000,3701.55,3705.77,3697.04,3697.61,914.8593
1641049200000,3697.04,3709.75,3693.22,3706.28,1234.0743
1641050100000,3706.28,3713.71,3703.96,3713.41,907.322
1641051000000,3713.17,3745.36,3712.09,3734.67,5045.6743
1641051900000,3734.67,3742.3,3718.46,3725.3,2193.1382
1641052800000,3725.29,3743.16,3718.71,3736.94,1348.3949
1641053700000,3736.95,3749.98,3730.49,3744.3,1684.6317
1641054600000,3744.3,3747.35,3735.35,3739.64,1323.2678
1641055500000,3739.87,3744.57,3725.16,3727.62,2428.8527
1641056400000,3727.61,3736.02,3727.24,3728.93,1357.5097
1641057300000,3728.93,3737.01,3727.84,3735.31,1010.0114
1641058200000,3735.3,3763.65,3735.0,3757.82,4122.0794
1641059100000,3757.82,3764.98,3750.0,3760.77,2437.2514
1641060000000,3760.76,3766.0,3751.2,3754.71,1418.6671
1641060900000,3754.72,3757.97,3745.0,3749.05,1368.2111
1641061800000,3749.06,3752.3,3740.0,3744.62,2311.6994
1641062700000,3744.61,3756.99,3741.55,3752.58,1566.7805
1641063600000,3752.58,3757.86,3746.18,3749.35,1237.6915
1641064500000,3749.36,3749.84,3736.31,3744.38,1301.9566
1641065400000,3744.37,3746.18,3736.0,3738.86,1522.6268
1641066300000,3738.87,3749.36,3736.59,3747.61,810.7879
1641067200000,3747.6,3749.83,3742.45,3746.55,1009.3066
1641068100000,3746.55,3752.63,3740.35,3752.0,1188.2602
1641069000000,3752.0,3776.45,3750.87,3760.64,3037.9588
1641069900000,3760.64,3766.55,3755.14,3761.02,1252.2319
1641070800000,3761.02,3774.88,3760.28,3773.19,1782.8165
1641071700000,3773.18,3776.0,3760.21,3762.48,1871.5327
1641072600000,3762.48,3767.39,3758.53,3764.35,1928.3136
1641073500000,3764.35,3765.7,3745.91,3748.65,1616.2892
1641074400000,3748.66,3750.63,3740.0,3742.51,1590.985
1641075300000,3742.51,3755.96,3741.95,3754.56,686.743
1641076200000,3754.57,3763.17,3754.55,3759.77,466.4786
1641077100000,3759.77,3764.15,3752.33,3757.89,885.8802
1641078000000,3757.89,3758.81,3745.0,3747.08,1135.1773
1641078900000,3747.08,3758.64,3746.6,3755.46,1036.3305
1641079800000,3755.08,3763.35,3750.12,3758.59,1018.8972
1641080700000,3758.59,3774.9,3758.22,3765.54,1757.5649
1641081600000,3765.54,3770.0,3753.91,3758.18,1411.2985
1641082500000,3758.17,3764.56,3750.2,3763.18,1410.125
1641083400000,3763.17,3771.0,3760.68,3763.2,2048.699
1641084300000,3763.19,3767.0,3758.67,3761.58,1420.5386
1641085200000,3761.57,3763.66,3750.23,3751.0,1114.6746
1641086100000,3750.42,3758.0,3749.15,3753.84,1164.9621
1641087000000,3753.84,3756.8,3742.34,3747.99,764.0891
1641087900000,3747.99,3750.13,3742.35,3747.0,1075.1673
1641088800000,3747.0,3752.15,3743.86,3750.44,1071.0938
1641089700000,3750.45,3753.36,3741.8,3743.29,995.8176
